
13:36:12 | Tcp  | clients  8 | logs            0 | watches          0 | flows          0 | payload      0.0 MiB
13:36:13 | Tcp  | clients  8 | logs            0 | watches          0 | flows          0 | payload      0.0 MiB
13:36:14 | Tcp  | clients  8 | logs        5,230 | watches         48 | flows         24 | payload      5.1 MiB
13:36:15 | Tcp  | clients  8 | logs       13,408 | watches        128 | flows         64 | payload     13.0 MiB
13:36:16 | Tcp  | clients  8 | logs       20,803 | watches        204 | flows        100 | payload     20.2 MiB
13:36:17 | Tcp  | clients  8 | logs       27,678 | watches        272 | flows        136 | payload     26.9 MiB
13:36:18 | Tcp  | clients  8 | logs       35,234 | watches        350 | flows        174 | payload     34.2 MiB
13:36:19 | Tcp  | clients  8 | logs       44,013 | watches        437 | flows        216 | payload     42.8 MiB
13:36:20 | Tcp  | clients  8 | logs       51,974 | watches        515 | flows        256 | payload     50.5 MiB
13:36:21 | Tcp  | clients  8 | logs       61,770 | watches        616 | flows        304 | payload     60.0 MiB
13:36:22 | Tcp  | clients  8 | logs       66,545 | watches        664 | flows        328 | payload     64.7 MiB
13:36:23 | Tcp  | clients  8 | logs       71,457 | watches        712 | flows        352 | payload     69.4 MiB
13:36:24 | Tcp  | clients  8 | logs       79,849 | watches        793 | flows        393 | payload     77.6 MiB
13:36:25 | Tcp  | clients  8 | logs       87,732 | watches        872 | flows        432 | payload     85.3 MiB
13:36:26 | Tcp  | clients  8 | logs       93,857 | watches        936 | flows        464 | payload     91.2 MiB
13:36:27 | Tcp  | clients  8 | logs      101,818 | watches      1,016 | flows        504 | payload     98.9 MiB
13:36:28 | Tcp  | clients  8 | logs      108,102 | watches      1,078 | flows        536 | payload    105.1 MiB
13:36:29 | Tcp  | clients  8 | logs      118,038 | watches      1,176 | flows        584 | payload    114.7 MiB
13:36:30 | Tcp  | clients  8 | logs      126,570 | watches      1,264 | flows        632 | payload    123.0 MiB
13:36:31 | Tcp  | clients  8 | logs      137,867 | watches      1,376 | flows        688 | payload    134.0 MiB
13:36:32 | Tcp  | clients  8 | logs      146,765 | watches      1,464 | flows        728 | payload    142.6 MiB
13:36:33 | Tcp  | clients  8 | logs      155,164 | watches      1,548 | flows        772 | payload    150.8 MiB
13:36:34 | Tcp  | clients  8 | logs      162,214 | watches      1,616 | flows        808 | payload    157.6 MiB
13:36:35 | Tcp  | clients  8 | logs      170,729 | watches      1,704 | flows        848 | payload    165.9 MiB
13:36:36 | Tcp  | clients  8 | logs      173,357 | watches      1,728 | flows        864 | payload    168.5 MiB
13:36:37 | Tcp  | clients  8 | logs      175,600 | watches      1,752 | flows        872 | payload    170.6 MiB
13:36:38 | Tcp  | clients  8 | logs      180,917 | watches      1,807 | flows        903 | payload    175.8 MiB
13:36:39 | Tcp  | clients  8 | logs      190,072 | watches      1,896 | flows        944 | payload    184.7 MiB
13:36:40 | Tcp  | clients  8 | logs      198,066 | watches      1,976 | flows        984 | payload    192.5 MiB
13:36:41 | Tcp  | clients  8 | logs      209,353 | watches      2,089 | flows      1,041 | payload    203.4 MiB
13:36:42 | Tcp  | clients  8 | logs      219,566 | watches      2,192 | flows      1,096 | payload    213.4 MiB
13:36:43 | Tcp  | clients  8 | logs      228,269 | watches      2,280 | flows      1,136 | payload    221.8 MiB
13:36:44 | Tcp  | clients  8 | logs      236,440 | watches      2,360 | flows      1,176 | payload    229.8 MiB
13:36:45 | Tcp  | clients  8 | logs      244,456 | watches      2,440 | flows      1,216 | payload    237.6 MiB
13:36:46 | Tcp  | clients  8 | logs      251,696 | watches      2,512 | flows      1,256 | payload    244.6 MiB
13:36:47 | Tcp  | clients  8 | logs      260,153 | watches      2,600 | flows      1,296 | payload    252.8 MiB
13:36:48 | Tcp  | clients  8 | logs      267,911 | watches      2,673 | flows      1,336 | payload    260.4 MiB
13:36:49 | Tcp  | clients  8 | logs      276,190 | watches      2,760 | flows      1,376 | payload    268.4 MiB
13:36:50 | Tcp  | clients  8 | logs      281,555 | watches      2,809 | flows      1,401 | payload    273.6 MiB
13:36:51 | Tcp  | clients  8 | logs      289,539 | watches      2,889 | flows      1,441 | payload    281.4 MiB
13:36:52 | Tcp  | clients  8 | logs      298,337 | watches      2,977 | flows      1,488 | payload    289.9 MiB
13:36:53 | Tcp  | clients  8 | logs      307,139 | watches      3,067 | flows      1,531 | payload    298.5 MiB
13:36:54 | Tcp  | clients  8 | logs      313,782 | watches      3,136 | flows      1,568 | payload    304.9 MiB
13:36:55 | Tcp  | clients  8 | logs      324,566 | watches      3,240 | flows      1,616 | payload    315.4 MiB
13:36:56 | Tcp  | clients  8 | logs      331,697 | watches      3,312 | flows      1,656 | payload    322.3 MiB
13:36:57 | Tcp  | clients  8 | logs      338,915 | watches      3,384 | flows      1,688 | payload    329.4 MiB
13:36:58 | Tcp  | clients  8 | logs      345,608 | watches      3,452 | flows      1,724 | payload    335.9 MiB
13:36:59 | Tcp  | clients  8 | logs      353,143 | watches      3,528 | flows      1,760 | payload    343.2 MiB
13:37:00 | Tcp  | clients  8 | logs      359,592 | watches      3,592 | flows      1,792 | payload    349.4 MiB
13:37:01 | Tcp  | clients  8 | logs      366,440 | watches      3,661 | flows      1,829 | payload    356.1 MiB
13:37:02 | Tcp  | clients  8 | logs      372,396 | watches      3,720 | flows      1,856 | payload    361.9 MiB
13:37:03 | Tcp  | clients  8 | logs      383,810 | watches      3,832 | flows      1,912 | payload    373.0 MiB
13:37:04 | Tcp  | clients  8 | logs      393,380 | watches      3,928 | flows      1,960 | payload    382.3 MiB
13:37:05 | Tcp  | clients  8 | logs      403,710 | watches      4,032 | flows      2,016 | payload    392.3 MiB
13:37:06 | Tcp  | clients  8 | logs      411,609 | watches      4,112 | flows      2,056 | payload    400.0 MiB
13:37:07 | Tcp  | clients  8 | logs      420,079 | watches      4,199 | flows      2,096 | payload    408.2 MiB
13:37:08 | Tcp  | clients  8 | logs      427,554 | watches      4,272 | flows      2,136 | payload    415.5 MiB
13:37:09 | Tcp  | clients  8 | logs      436,242 | watches      4,360 | flows      2,176 | payload    423.9 MiB
