
15:36:44 | Pipe | clients  4 | logs          732 | watches          7 | flows          3 | payload      0.7 MiB
15:36:45 | Pipe | clients  4 | logs        1,478 | watches         14 | flows          7 | payload      1.4 MiB
15:36:46 | Pipe | clients  4 | logs        2,225 | watches         22 | flows         11 | payload      2.2 MiB
15:36:47 | Pipe | clients  4 | logs        2,977 | watches         29 | flows         14 | payload      2.9 MiB
15:36:48 | Pipe | clients  4 | logs        3,722 | watches         37 | flows         18 | payload      3.6 MiB
15:36:49 | Pipe | clients  4 | logs        4,477 | watches         44 | flows         22 | payload      4.4 MiB
15:36:50 | Pipe | clients  4 | logs        5,225 | watches         52 | flows         26 | payload      5.1 MiB
15:36:51 | Pipe | clients  4 | logs        5,969 | watches         59 | flows         29 | payload      5.8 MiB
15:36:52 | Pipe | clients  4 | logs        6,730 | watches         67 | flows         33 | payload      6.5 MiB
15:36:53 | Pipe | clients  4 | logs        7,477 | watches         74 | flows         37 | payload      7.3 MiB
15:36:54 | Pipe | clients  4 | logs        8,220 | watches         82 | flows         41 | payload      8.0 MiB
15:36:55 | Pipe | clients  4 | logs        8,978 | watches         89 | flows         44 | payload      8.7 MiB
15:36:56 | Pipe | clients  4 | logs        9,727 | watches         97 | flows         48 | payload      9.5 MiB
15:36:57 | Pipe | clients  4 | logs       10,477 | watches        104 | flows         52 | payload     10.2 MiB
15:36:58 | Pipe | clients  4 | logs       11,226 | watches        112 | flows         56 | payload     10.9 MiB
15:36:59 | Pipe | clients  4 | logs       11,981 | watches        119 | flows         59 | payload     11.6 MiB
15:37:00 | Pipe | clients  4 | logs       12,719 | watches        127 | flows         63 | payload     12.4 MiB
15:37:01 | Pipe | clients  4 | logs       13,484 | watches        134 | flows         67 | payload     13.1 MiB
15:37:02 | Pipe | clients  4 | logs       14,229 | watches        142 | flows         71 | payload     13.8 MiB
15:37:03 | Pipe | clients  4 | logs       14,976 | watches        149 | flows         74 | payload     14.6 MiB
15:37:04 | Pipe | clients  4 | logs       15,728 | watches        157 | flows         78 | payload     15.3 MiB
15:37:05 | Pipe | clients  4 | logs       16,464 | watches        164 | flows         82 | payload     16.0 MiB
15:37:06 | Pipe | clients  4 | logs       17,228 | watches        172 | flows         86 | payload     16.7 MiB
15:37:07 | Pipe | clients  4 | logs       17,973 | watches        179 | flows         89 | payload     17.5 MiB
15:37:08 | Pipe | clients  4 | logs       18,719 | watches        187 | flows         93 | payload     18.2 MiB
15:37:09 | Pipe | clients  4 | logs       19,472 | watches        194 | flows         97 | payload     18.9 MiB
15:37:10 | Pipe | clients  4 | logs       20,229 | watches        202 | flows        101 | payload     19.7 MiB
15:37:11 | Pipe | clients  4 | logs       20,970 | watches        209 | flows        104 | payload     20.4 MiB
15:37:12 | Pipe | clients  4 | logs       21,724 | watches        217 | flows        108 | payload     21.1 MiB
15:37:13 | Pipe | clients  4 | logs       22,469 | watches        224 | flows        112 | payload     21.8 MiB
